nom,abreviatura,codi
Álava,Ál.,VI
Albacete,Alb.,AB
Alicante,Alc.,A
Almería,Alm.,AL
Asturias,Ast.,O
Ávila,Áv.,AV
Badajoz,Bad.,BA
Baleares / Balears,Bal.,PM
Barcelona,Barna.,B
Burgos,Burg.,BU
Cáceres,Các.,CC
Cádiz,Cád.,CA
Cantabria,Cantb.,S
Castellón / Castelló,"Cs., Cast.",CS
Ciudad Real,C. Real,CR
Córdoba,Córd.,CO
Cuenca,Cuen.,CU
Gerona / Girona,–,GI
Granada,Gran.,GR
Guadalajara,Guad.,GU
Guipúzcoa / Gipuzkoa,Guip.,SS
Huelva,Huel.,H
Huesca,Hues.,HU
Jaén,–,J
La Coruña / A Coruña,–,C
La Rioja,–,LO
Las Palmas,–,GC
León,–,LE
Lérida / Lleida,Lér.,L
Lugo,–,LU
Madrid,Mad.,M
Málaga,Mál.,MA
Murcia,Mur.,MU
Navarra / Nafarroa,Nav.,NA
Orense / Ourense,–,OR
Palencia,Pal.,P
Pontevedra,–,PO
Salamanca,Sal.,SA
Santa Cruz de Tenerife,–,TF
Segovia,Seg.,SG
Sevilla,Sev.,SE
Soria,Sor.,SO
Tarragona,–,T
Teruel,Ter.,TE
Toledo,Tol.,TO
Valencia / València,Val.,V
Valladolid,Vall.,VA
Vizcaya / Bizkaia,Vizc.,BI
Zamora,Zam.,ZA
Zaragoza,Zar.,Z
